scenario,plant,component_material,week,component_demand_qty,available_qty,shortage_qty,coverage_days_or_weeks,recommended_order_date,shortage_flag,sourcing_risk_score,scope_id
all_in,NW01,RM-COIL-AL,2026-W09,654.3339677419355,0.0,654.3339677419355,0.0,2026-01-24,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W10,4580.337774193548,0.0,4580.337774193548,0.0,2026-01-31,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W11,4580.337774193548,0.0,4580.337774193548,0.0,2026-02-07,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W12,4580.337774193548,0.0,4580.337774193548,0.0,2026-02-14,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W13,4580.337774193548,0.0,4580.337774193548,0.0,2026-02-21,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W14,11083.019268817205,0.0,11083.019268817205,0.0,2026-02-28,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W15,13684.091866666666,0.0,13684.091866666666,0.0,2026-03-07,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W16,13684.091866666666,0.0,13684.091866666666,0.0,2026-03-14,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W17,13684.091866666666,0.0,13684.091866666666,0.0,2026-03-21,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W18,14076.872550537635,0.0,14076.872550537635,0.0,2026-03-28,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W19,14600.580129032258,0.0,14600.580129032258,0.0,2026-04-04,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W20,14600.580129032258,0.0,14600.580129032258,0.0,2026-04-11,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W21,14600.580129032258,0.0,14600.580129032258,0.0,2026-04-18,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W22,14600.580129032258,0.0,14600.580129032258,0.0,2026-04-25,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W23,19326.2657,0.0,19326.2657,0.0,2026-05-02,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W24,19326.2657,0.0,19326.2657,0.0,2026-05-09,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W25,19326.2657,0.0,19326.2657,0.0,2026-05-16,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W26,19326.2657,0.0,19326.2657,0.0,2026-05-23,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W27,20979.146812903226,0.0,20979.146812903226,0.0,2026-05-30,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W28,21640.299258064515,0.0,21640.299258064515,0.0,2026-06-06,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W29,21640.299258064515,0.0,21640.299258064515,0.0,2026-06-13,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W30,21640.299258064515,0.0,21640.299258064515,0.0,2026-06-20,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W31,19879.103387096777,0.0,19879.103387096777,0.0,2026-06-27,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W32,15476.11370967742,0.0,15476.11370967742,0.0,2026-07-04,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W33,15476.11370967742,0.0,15476.11370967742,0.0,2026-07-11,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W34,15476.11370967742,0.0,15476.11370967742,0.0,2026-07-18,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W35,15476.11370967742,0.0,15476.11370967742,0.0,2026-07-25,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W36,12292.71638709677,0.0,12292.71638709677,0.0,2026-08-01,True,1.0,mvp_3plant
all_in,NW01,RM-COIL-AL,2026-W37,11762.150166666666,0.0,11762.150166666666,0.0,2026-08-08,True,1.0,mvp_3plant
