scope_id,scenario,plant,component_material,quarter_id,total_demand_qty,total_shortage_qty,shortage_weeks_count,avg_sourcing_risk_score,max_sourcing_risk_score,earliest_recommended_order_date,synthetic_dependency_flag
mvp_3plant,all_in,NW01,RM-COIL-AL,2026-Q1,18975.68506451613,18975.68506451613,5,1.0,1.0,2026-01-24,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2026-Q2,201919.55073548388,201919.55073548388,13,1.0,1.0,2026-02-28,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2026-Q3,215262.7697,215262.7697,13,1.0,1.0,2026-05-30,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2026-Q4,195182.16950000002,195182.16950000002,14,1.0,1.0,2026-08-29,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2027-Q1,245398.58267526884,245398.58267526884,13,1.0,1.0,2026-12-05,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2027-Q2,146561.35445376346,146561.35445376346,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2027-Q3,14512.921612903227,14512.921612903227,9,1.0,1.0,2027-06-05,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2027-Q4,5038.570838709677,5038.570838709677,1,1.0,1.0,2027-11-27,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2028-Q2,77249.08696774193,77249.08696774193,9,1.0,1.0,2028-04-01,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2028-Q3,138675.3220645161,138675.3220645161,13,1.0,1.0,2028-06-03,False
mvp_3plant,all_in,NW01,RM-COIL-AL,2028-Q4,89093.23096774193,89093.23096774193,13,1.0,1.0,2028-09-02,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2026-Q2,128741.57426666666,128741.57426666666,13,1.0,1.0,2026-02-28,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2026-Q3,260025.87583333332,260025.87583333332,13,1.0,1.0,2026-05-30,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2026-Q4,153320.3999,153320.3999,14,1.0,1.0,2026-08-29,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2027-Q1,100840.63687096775,100840.63687096775,13,1.0,1.0,2026-12-05,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2027-Q2,76490.56651612902,76490.56651612902,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2027-Q3,34586.08283870968,34586.08283870968,13,1.0,1.0,2027-06-05,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2027-Q4,17101.13506451613,17101.13506451613,13,1.0,1.0,2027-09-04,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2028-Q1,5598.154963440858,5598.154963440858,6,1.0,1.0,2027-12-04,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2028-Q2,185213.83413333332,185213.83413333332,13,1.0,1.0,2028-03-04,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2028-Q3,246233.21393548386,246233.21393548386,13,1.0,1.0,2028-06-03,False
mvp_3plant,all_in,NW01,RM-COIL-HC276,2028-Q4,101056.46206451612,101056.46206451612,13,1.0,1.0,2028-09-02,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2026-Q1,24370.73467741935,24370.73467741935,5,1.0,1.0,2026-01-24,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2026-Q2,146569.06358924732,146569.06358924732,13,1.0,1.0,2026-02-28,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2026-Q3,172943.82213333333,172943.82213333333,13,1.0,1.0,2026-05-30,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2026-Q4,327220.59359999996,327220.59359999996,14,1.0,1.0,2026-08-29,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2027-Q1,271382.9546129032,271382.9546129032,13,1.0,1.0,2026-12-05,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2027-Q2,97674.192,97674.192,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2027-Q3,20710.826129032255,20710.826129032255,5,1.0,1.0,2027-07-31,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2027-Q4,138137.32212903225,138137.32212903225,13,1.0,1.0,2027-09-04,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2028-Q1,404406.5295849462,404406.5295849462,13,1.0,1.0,2027-12-04,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2028-Q2,362087.30447956984,362087.30447956984,13,1.0,1.0,2028-03-04,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2028-Q3,208484.29722580645,208484.29722580645,13,1.0,1.0,2028-06-03,False
mvp_3plant,all_in,NW01,RM-COIL-NI,2028-Q4,64840.333161290335,64840.333161290335,13,1.0,1.0,2028-09-02,False
mvp_3plant,all_in,NW01,RM-COIL-SS304,2026-Q4,23289.336,23289.336,10,1.0,1.0,2026-09-26,False
mvp_3plant,all_in,NW01,RM-COIL-SS304,2027-Q1,49559.74709677419,49559.74709677419,13,1.0,1.0,2026-12-05,False
mvp_3plant,all_in,NW01,RM-COIL-SS304,2027-Q2,25931.89832258064,25931.89832258064,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-SS304,2027-Q3,2136.3096774193546,2136.3096774193546,4,1.0,1.0,2027-06-05,False
mvp_3plant,all_in,NW01,RM-COIL-SS304,2027-Q4,966.8779354838708,966.8779354838708,1,1.0,1.0,2027-11-27,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2027-Q1,52633.839466666665,52633.839466666665,9,1.0,1.0,2027-01-02,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2027-Q2,285931.3769204301,285931.3769204301,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2027-Q3,277992.5032903226,277992.5032903226,13,1.0,1.0,2027-06-05,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2027-Q4,145165.10132258065,145165.10132258065,13,1.0,1.0,2027-09-04,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2028-Q1,65024.65546666666,65024.65546666666,13,1.0,1.0,2027-12-04,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2028-Q2,170651.94040430104,170651.94040430104,13,1.0,1.0,2028-03-04,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2028-Q3,236233.13651612902,236233.13651612902,13,1.0,1.0,2028-06-03,False
mvp_3plant,all_in,NW01,RM-COIL-SS316,2028-Q4,140195.8276129032,140195.8276129032,13,1.0,1.0,2028-09-02,False
mvp_3plant,all_in,NW01,RM-COIL-TI,2026-Q4,9749.84,9749.84,5,1.0,1.0,2026-10-31,False
mvp_3plant,all_in,NW01,RM-COIL-TI,2027-Q1,63432.872129032265,63432.872129032265,13,1.0,1.0,2026-12-05,False
mvp_3plant,all_in,NW01,RM-COIL-TI,2027-Q2,50861.75054838709,50861.75054838709,13,1.0,1.0,2027-03-06,False
mvp_3plant,all_in,NW01,RM-COIL-TI,2027-Q3,24659.971612903228,24659.971612903228,13,1.0,1.0,2027-06-05,False
mvp_3plant,all_in,NW01,RM-COIL-TI,2027-Q4,39723.253419354834,39723.253419354834,13,1.0,1.0,2027-09-04,False
