scope_id,quarter_id,project_id,plant,material,raw_qty_quarter,expected_qty_quarter,expected_value_quarter,priority_score,requested_date_min,requested_date_max
denmark_demo,2026-Q1,SF-100023,NW10,MAT-101324,0,0.0,2541751.965,0.7716666666666666,2026-02-22,2026-02-22
denmark_demo,2026-Q1,SF-100045,NW08,MAT-100864,0,0.0,3121357.5990000004,0.8829166666666667,2026-07-23,2026-07-23
denmark_demo,2026-Q1,SF-100047,NW09,MAT-100028,0,0.0,289370.379,0.4172916666666667,2026-03-15,2026-03-15
denmark_demo,2026-Q1,SF-100048,NW08,MAT-100496,0,0.0,38467.242,0.3035416666666667,2026-06-05,2026-06-05
denmark_demo,2026-Q1,SF-100051,NW08,MAT-200115,2753,1376.5,1266799.6199999999,0.7214583333333333,2026-06-16,2026-06-16
denmark_demo,2026-Q1,SF-100061,NW10,MAT-200119,12111,1211.1,122726.394,0.3314583333333334,2026-06-19,2026-06-19
denmark_demo,2026-Q1,SF-100063,NW08,MAT-100252,0,0.0,624078.45,0.6691666666666667,2026-03-28,2026-03-28
denmark_demo,2026-Q1,SF-100063,NW08,MAT-100891,0,0.0,624078.45,0.6691666666666667,2026-03-28,2026-03-28
denmark_demo,2026-Q1,SF-100080,NW08,MAT-200389,0,0.0,2344418.91,0.6897916666666666,2026-12-14,2026-12-14
denmark_demo,2026-Q1,SF-100086,NW10,MAT-101208,0,0.0,899391.51,0.5983333333333334,2026-12-27,2026-12-27
denmark_demo,2026-Q1,SF-100118,NW09,MAT-200702,0,0.0,1218001.5359999998,0.849375,2026-05-27,2026-05-27
denmark_demo,2026-Q1,SF-100125,NW08,MAT-101371,0,0.0,86358.816,0.4152083333333334,2026-08-09,2026-08-09
denmark_demo,2026-Q1,SF-100138,NW08,MAT-101414,0,0.0,652731.5249999999,0.7535416666666667,2026-09-16,2026-09-16
denmark_demo,2026-Q1,SF-100142,NW10,MAT-100775,9731,4865.5,384230.97000000003,0.5897916666666667,2026-12-10,2026-12-10
denmark_demo,2026-Q1,SF-100160,NW08,MAT-200443,0,0.0,892314.4949999999,0.7527083333333333,2026-12-15,2026-12-15
denmark_demo,2026-Q1,SF-100188,NW09,MAT-200206,0,0.0,395097.345,0.6135416666666667,2026-04-14,2026-04-14
denmark_demo,2026-Q1,SF-100206,NW09,MAT-101206,0,0.0,218734.173,0.5481250000000001,2026-03-02,2026-03-02
denmark_demo,2026-Q1,SF-100209,NW10,MAT-100592,0,0.0,233100.057,0.4997916666666667,2026-04-24,2026-04-24
denmark_demo,2026-Q1,SF-100238,NW09,MAT-100072,0,0.0,518394.345,0.5797916666666666,2026-05-07,2026-05-07
denmark_demo,2026-Q1,SF-100250,NW10,MAT-200550,0,0.0,1716663.5999999999,0.7949999999999999,2026-04-06,2026-04-06
denmark_demo,2026-Q1,SF-100257,NW10,MAT-101354,0,0.0,1792919.34,0.7783333333333332,2026-07-28,2026-07-28
denmark_demo,2026-Q1,SF-100271,NW10,MAT-100639,0,0.0,121531.66500000001,0.5210416666666667,2026-04-16,2026-04-16
denmark_demo,2026-Q1,SF-100274,NW10,MAT-101187,0,0.0,1234130.46,0.5604166666666668,2026-08-16,2026-08-16
denmark_demo,2026-Q1,SF-100283,NW08,MAT-200489,0,0.0,333003.645,0.5195833333333333,2026-09-03,2026-09-03
denmark_demo,2026-Q1,SF-100284,NW09,MAT-100780,0,0.0,1289264.5125000002,0.5797916666666667,2026-12-19,2026-12-19
denmark_demo,2026-Q1,SF-100294,NW09,MAT-200525,0,0.0,2181209.9175,0.5939583333333333,2026-10-27,2026-10-27
denmark_demo,2026-Q1,SF-100297,NW08,MAT-100731,6127,612.7,345719.982,0.42,2026-12-09,2026-12-09
denmark_demo,2026-Q1,SF-100326,NW08,MAT-200725,0,0.0,313925.172,0.5058333333333334,2026-07-03,2026-07-03
denmark_demo,2026-Q1,SF-100333,NW10,MAT-100209,0,0.0,353374.989,0.5058333333333334,2026-07-09,2026-07-09
denmark_demo,2026-Q1,SF-100335,NW10,MAT-101131,7282,6553.800000000001,714464.928,0.7954166666666667,2026-05-22,2026-05-22
denmark_demo,2026-Q1,SF-100341,NW10,MAT-200836,0,0.0,1327785.975,0.6385416666666667,2026-03-06,2026-03-06
denmark_demo,2026-Q1,SF-100361,NW10,MAT-200755,0,0.0,1278832.365,0.7395833333333333,2026-05-25,2026-05-25
denmark_demo,2026-Q1,SF-100380,NW08,MAT-200677,0,0.0,74180.346,0.4985416666666666,2026-07-17,2026-07-17
denmark_demo,2026-Q1,SF-100380,NW10,MAT-100592,0,0.0,74180.346,0.4985416666666666,2026-07-17,2026-07-17
