scope_id,scenario,plant,work_center,week,nominal_available_capacity_hours,scheduled_maintenance_hours,downtime_buffer_hours,effective_available_capacity_hours,total_load_hours,overload_hours,overload_pct,bottleneck_flag
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W01,40.6,8.0,0.0,32.6,8655.144,8622.544,264.495215,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W02,40.6,0.0,0.0,40.6,10293.5396,10252.9396,252.535458,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W03,40.6,0.0,0.0,40.6,10275.1642,10234.5642,252.082862,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W04,40.6,0.0,0.0,40.6,10691.166,10650.566,262.329212,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W05,40.6,8.0,0.0,32.6,8388.6404,8356.0404,256.320258,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W06,40.6,0.0,0.0,40.6,10408.2624,10367.6624,255.361143,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W07,40.6,0.0,0.0,40.6,10005.7116,9965.1116,245.446099,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W08,40.6,0.0,0.0,40.6,9159.8716,9119.2716,224.612601,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W09,40.6,8.0,0.0,32.6,9032.028,8999.428,276.056074,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W10,40.6,0.0,0.0,40.6,8584.702,8544.102,210.445862,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W11,40.6,0.0,0.0,40.6,10680.4514,10639.8514,262.065305,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W12,40.6,0.0,0.0,40.6,8340.6682,8300.0682,204.435177,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W13,40.6,8.0,0.0,32.6,8579.6156,8547.0156,262.178393,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W14,40.6,0.0,0.0,40.6,10142.1748,10101.5748,248.807261,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W15,40.6,0.0,0.0,40.6,10502.7112,10462.1112,257.687468,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W16,40.6,0.0,0.0,40.6,9447.829,9407.229,231.705148,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W17,40.6,8.0,0.0,32.6,10146.8678,10114.2678,310.253613,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W18,40.6,0.0,0.0,40.6,10397.0286,10356.4286,255.084448,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W19,40.6,0.0,0.0,40.6,8642.3746,8601.7746,211.866369,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W20,40.6,0.0,0.0,40.6,11263.854,11223.254,276.434828,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W21,40.6,8.0,0.0,32.6,10176.4126,10143.8126,311.159896,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W22,40.6,0.0,0.0,40.6,8525.3464,8484.7464,208.983901,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W23,40.6,0.0,0.0,40.6,9369.143,9328.543,229.767069,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W24,40.6,0.0,0.0,40.6,11018.3904,10977.7904,270.388926,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W25,40.6,8.0,0.0,32.6,11235.0798,11202.4798,343.63435,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W26,40.6,0.0,0.0,40.6,9068.1128,9027.5128,222.352532,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W27,40.6,0.0,0.0,40.6,10385.0802,10344.4802,254.790153,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W28,40.6,0.0,0.0,40.6,11293.3384,11252.7384,277.161044,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W29,40.6,8.0,0.0,32.6,10069.412,10036.812,307.877669,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W30,40.6,0.0,0.0,40.6,10007.0976,9966.4976,245.480236,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W31,40.6,0.0,0.0,40.6,9782.4398,9741.8398,239.946793,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W32,40.6,0.0,0.0,40.6,9684.441,9643.841,237.53303,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W33,40.6,8.0,0.0,32.6,9930.187,9897.587,303.606963,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W34,40.6,0.0,0.0,40.6,11010.5712,10969.9712,270.196335,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W35,40.6,0.0,0.0,40.6,10392.5566,10351.9566,254.9743,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W36,40.6,0.0,0.0,40.6,10886.9084,10846.3084,267.150453,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W37,40.6,8.0,0.0,32.6,9667.8776,9635.2776,295.560663,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W38,40.6,0.0,0.0,40.6,10353.1714,10312.5714,254.004222,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W39,40.6,0.0,0.0,40.6,11496.6192,11456.0192,282.167961,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W40,40.6,0.0,0.0,40.6,10441.7206,10401.1206,256.185236,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W41,40.6,8.0,0.0,32.6,10641.5598,10608.9598,325.428215,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W42,40.6,0.0,0.0,40.6,9975.3334,9934.7334,244.697867,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W43,40.6,0.0,0.0,40.6,10049.4496,10008.8496,246.523389,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W44,40.6,0.0,0.0,40.6,8986.912,8946.312,220.352511,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W45,40.6,8.0,0.0,32.6,10245.1059,10212.5059,313.267051,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W46,40.6,0.0,0.0,40.6,8591.0835,8550.4835,210.603041,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W47,40.6,0.0,0.0,40.6,10660.6539,10620.0539,261.577682,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W48,40.6,0.0,0.0,40.6,9030.6031,8990.0031,221.428647,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W49,40.6,8.0,0.0,32.6,10117.4262,10084.8262,309.350496,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W50,40.6,0.0,0.0,40.6,10330.6522,10290.0522,253.449563,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W51,40.6,0.0,0.0,40.6,10014.5172,9973.9172,245.662986,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2026-W52,40.6,0.0,0.0,40.6,10703.9844,10663.3844,262.644937,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W01,40.6,8.0,0.0,32.6,9281.0405,9248.4405,283.694494,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W02,40.6,0.0,0.0,40.6,11129.7353,11089.1353,273.131412,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W03,40.6,0.0,0.0,40.6,10755.4315,10714.8315,263.912106,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W04,40.6,0.0,0.0,40.6,9721.7185,9681.1185,238.451195,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W05,40.6,8.0,0.0,32.6,10638.7931,10606.1931,325.343347,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W06,40.6,0.0,0.0,40.6,10358.3301,10317.7301,254.131283,True
mvp_3plant,baseline_maintenance,NW01,P01_NW01_ASSY_1,2027-W07,40.6,0.0,0.0,40.6,8797.2317,8756.6317,215.680584,True
