scenario_name,scenario_confidence,project_id,plant,material,work_center,year,week,demand_qty,demand_hours,reason_code
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2027,48,729.3548387096774,32.16454838709677,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2027,49,1021.0967741935484,45.030367741935486,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2027,50,1021.0967741935484,45.030367741935486,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2027,51,1021.0967741935484,45.030367741935486,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2027,52,729.3548387096774,32.16454838709677,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,1,1924.5483870967741,84.87258387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,2,1924.5483870967741,84.87258387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,3,1924.5483870967741,84.87258387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,4,1924.5483870967741,84.87258387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,5,2008.5216907675194,88.5758065628476,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,6,2022.5172413793105,89.1930103448276,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,7,2022.5172413793105,89.1930103448276,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,8,2022.5172413793105,89.1930103448276,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,9,2704.636262513904,119.27445917686318,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,10,2977.483870967742,131.3070387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,11,2977.483870967742,131.3070387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,12,2977.483870967742,131.3070387096774,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,13,2711.50752688172,119.57748193548386,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,14,2046.5666666666666,90.25359,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,15,2046.5666666666666,90.25359,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,16,2046.5666666666666,90.25359,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,17,2046.5666666666666,90.25359,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,18,1574.3225806451612,69.42762580645162,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,19,1574.3225806451612,69.42762580645162,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,20,1574.3225806451612,69.42762580645162,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,21,1574.3225806451612,69.42762580645162,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,22,1370.0430107526881,60.418896774193556,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,23,1216.8333333333333,53.662349999999996,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,24,1216.8333333333333,53.662349999999996,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,25,1216.8333333333333,53.662349999999996,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,26,1071.8763440860214,47.26974677419355,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,27,709.483870967742,31.28823870967742,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,28,709.483870967742,31.28823870967742,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,29,709.483870967742,31.28823870967742,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,30,709.483870967742,31.28823870967742,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,31,428.8387096774194,18.911787096774194,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,32,382.06451612903226,16.849045161290324,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,33,382.06451612903226,16.849045161290324,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,34,382.06451612903226,16.849045161290324,READY
all_in,1.0,SF-100000,NW01,MAT-101168,P01_NW01_PRESS_6,2028,35,218.32258064516128,9.628025806451612,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,22,150.4,2.27104,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,23,175.46666666666667,2.6495466666666667,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,24,175.46666666666667,2.6495466666666667,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,25,175.46666666666667,2.6495466666666667,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,26,236.7483870967742,3.57490064516129,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,27,282.7096774193548,4.268916129032258,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,28,282.7096774193548,4.268916129032258,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,29,282.7096774193548,4.268916129032258,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,30,286.51612903225805,4.326393548387097,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,31,309.35483870967744,4.671258064516129,READY
all_in,1.0,SF-100001,NW04,MAT-101174,P01_NW04_PRESS_1,2027,32,309.35483870967744,4.671258064516129,READY
