scope_id,quarter_id,project_id,previous_action_type,previous_action_score,previous_top_driver,previous_confidence,action_outcome_status,carry_over_flag,learning_note
denmark_demo,2026-Q1,SF-100023,,,,,no_prior_decision,False,history_mode=inferred_from_expected_value; no_prior_decision; outcome_label=no_prior_decision
denmark_demo,2026-Q2,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q1; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2026-Q3,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q2; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2026-Q4,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q3; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2027-Q1,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q4; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2027-Q2,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2027-Q1; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2027-Q3,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2027-Q2; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2027-Q4,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2027-Q3; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2028-Q1,SF-100023,buy_now,0.276454,,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2027-Q4; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2028-Q2,SF-100023,buy_now,0.276454,sourcing_risk,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2028-Q1; prior_action=buy_now; prior_driver=sourcing_risk; outcome_label=pending_outcome_synth
denmark_demo,2028-Q3,SF-100023,buy_now,0.276454,sourcing_risk,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2028-Q2; prior_action=buy_now; prior_driver=sourcing_risk; outcome_label=pending_outcome_synth
denmark_demo,2028-Q4,SF-100023,split_production,0.276454,capacity_risk,low,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2028-Q3; prior_action=split_production; prior_driver=capacity_risk; outcome_label=pending_outcome_synth
denmark_demo,2026-Q1,SF-100045,,,,,no_prior_decision,False,history_mode=inferred_from_expected_value; no_prior_decision; outcome_label=no_prior_decision
denmark_demo,2026-Q2,SF-100045,buy_now,0.407729,,medium,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q1; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
denmark_demo,2026-Q3,SF-100045,buy_now,0.407729,,medium,pending_outcome_synth,True,history_mode=inferred_from_expected_value; prior_quarter=2026-Q2; prior_action=buy_now; prior_driver=UNSPECIFIED_DRIVER; outcome_label=pending_outcome_synth
