scope_id,scenario,project_id,plant,week,requested_delivery_date,transit_time_days,production_time_proxy_days,total_commitment_time_days,on_time_feasible_flag,expedite_option_flag,service_violation_risk,synthetic_delivery_assumption
mvp_3plant,all_in,SF-100000,NW01,2027-W48,2027-12-27,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2027-W49,2028-01-03,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2027-W50,2028-01-10,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2027-W51,2028-01-17,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2027-W52,2028-01-24,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W01,2028-01-31,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W02,2028-02-07,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W03,2028-02-14,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W04,2028-02-21,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W05,2028-02-28,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W06,2028-03-06,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W07,2028-03-13,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W08,2028-03-20,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W09,2028-03-27,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W10,2028-04-03,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W11,2028-04-10,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W12,2028-04-17,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W13,2028-04-24,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W14,2028-05-01,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W15,2028-05-08,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W16,2028-05-15,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W17,2028-05-22,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W18,2028-05-29,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W19,2028-06-05,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W20,2028-06-12,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W21,2028-06-19,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W22,2028-06-26,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W23,2028-07-03,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W24,2028-07-10,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W25,2028-07-17,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W26,2028-07-24,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W27,2028-07-31,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W28,2028-08-07,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W29,2028-08-14,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W30,2028-08-21,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W31,2028-08-28,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W32,2028-09-04,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W33,2028-09-11,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W34,2028-09-18,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100000,NW01,2028-W35,2028-09-25,1,14,15,True,False,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W44,2026-11-23,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W45,2026-11-30,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W46,2026-12-07,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W47,2026-12-14,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W48,2026-12-21,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W49,2026-12-28,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W50,2027-01-04,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W51,2027-01-11,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W52,2027-01-18,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2026-W53,2027-01-25,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W01,2027-02-01,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W02,2027-02-08,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W03,2027-02-15,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W04,2027-02-22,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W05,2027-03-01,3,14,17,True,True,0.0,True
mvp_3plant,all_in,SF-100033,NW05,2027-W06,2027-03-08,3,14,17,True,True,0.0,True
